attributnamn	value	Definition
provtagningsmetod_tx	InsSvinfarm_FlytGodsel	Insamling från svinfarm - flytande gödsel (GÖDSEL)
provtagningsmetod_tx	InsToalettpapper	Insamling av toalettpapper (PRODUKTER)
provtagningsmetod_tx	InsTorsk	Insamling av torsk (LIVSMEDEL)
provtagningsmetod_tx	InsTurboSuper10W-30-Motorolja	Insamling av TurboSuper 10W-30 (motorolja) (PRODUKTER)
provtagningsmetod_tx	InsUngnots-fett	Insamling av ungnöts-fett (LIVSMEDEL)
provtagningsmetod_tx	InsUrin	Insamling av urin (HUMAN EXPONERING)
provtagningsmetod_tx	JENKINS	Jenkins-provtagare (SEDIMENT)
provtagningsmetod_tx	Jakt	Jakt (BIOTA)
provtagningsmetod_tx	Jiggfiske	Jiggfiske, spöfiske med jiggbete (BIOTA)
provtagningsmetod_tx	Jordspett	Jordspett (JORD)
provtagningsmetod_tx	KAJAK	Kajakprovtagare (SEDIMENT)
provtagningsmetod_tx	KOLVLO	Kolvlod (SEDIMENT)
provtagningsmetod_tx	KOLVPROVT	von Post-Wik kolvprovtagare (SEDIMENT)
provtagningsmetod_tx	KannProvt	Kannprovtagare, t.ex. ryssborr (SEDIMENT)
provtagningsmetod_tx	KappHamtare	Käpp-hämtare - Vid provtagningen används en käpp att fästa flaskan i när den sänks ner i vattnet. För att undvika ytfilmen skall provflaskans öppning vara vänd neråt när man för ned flaskan i vattnet och när man kommer till rätt djup vändas (VATTEN)
provtagningsmetod_tx	Karl	Insamling i kärl
provtagningsmetod_tx	Kran	Provtagning ur tappkran (VATTEN)
provtagningsmetod_tx	Kratta	Kratta (BIOTA)
provtagningsmetod_tx	LIMNOS	Limnos-provtagare (SEDIMENT)
provtagningsmetod_tx	LIVINGSTONE	Livingstone-provtagare (SEDIMENT)
provtagningsmetod_tx	LVS	Lågvolymprovtagare (LUFT)
provtagningsmetod_tx	LVS-BAKGR	Lågvolymprovtagare-bakgrund (LUFT)
provtagningsmetod_tx	LVS-IN	Lågvolymprovtagare-inomhus (LUFT)
provtagningsmetod_tx	LVS-URB	Lågvolymprovtagare-urbant (LUFT)
provtagningsmetod_tx	LVS_Pump_GF_X_PUF	Lågvolymprovtagare, pumpning genom glasfiberfilter, porstorlek okänd, och polyuretanskum, PUF (LUFT)
provtagningsmetod_tx	MANROR	Manuell rörstång (SEDIMENT)
provtagningsmetod_tx	MJARDE	Mjärde (BIOTA)
provtagningsmetod_tx	MUK	Markundersökningskäpp, MUK (MARK)
provtagningsmetod_tx	Magnetventil_Rorledning	Provtagning i rörledningar på reningsverk m.h.a. magnetventiler styrda av tidsreläer (VATTEN)
provtagningsmetod_tx	Maskmete	Fiske med metspö och mask (BIOTA)
provtagningsmetod_tx	Maskmete_Jiggfiske	Maskmete_Jiggfiske - Kombinerat fiske vid samlingsprov (BIOTA)
provtagningsmetod_tx	NIEMCO	Niemistöcorer (SEDIMENT)
provtagningsmetod_tx	Natfiske	Nätfiske (BIOTA)
provtagningsmetod_tx	Natfiske_Jiggfiske	Nätfiske/Jiggfiske - Kombinerat fiske vid samlingsprov (BIOTA)
provtagningsmetod_tx	Natfiske_Jiggfiske_Ryssja	Nätfiske/Jiggfiske/Ryssja - Kombinerat fiske vid samlingsprov (BIOTA)
provtagningsmetod_tx	Natfiske_Maskmete_Jiggfiske	Nätfiske/Maskmete/Jiggfiske - Kombinerat fiske vid samlingsprov (BIOTA)
